Dataset,Question,True Answer,Retriever,Generator,K,Predicted Answer
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_1_MiniLM,T5_Small,0,john scott
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_1_MiniLM,T5_Small,1,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_1_MiniLM,T5_Small,5,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_1_MiniLM,T5_Small,10,Dave Seville is a struggling song writer who has a great idea about making the chipmunks a new show act
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_1_MiniLM,T5_Base,0,john mccartney
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_1_MiniLM,T5_Base,1,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_1_MiniLM,T5_Base,5,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_1_MiniLM,T5_Base,10,"The Chipmunks enjoyed several periods of prosperity -- beginning with the '60s era of adolescent Baby Boomers, cresting in the '80s, when the Boomers' children were growing up"
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_2_MPNet,T5_Small,0,john scott
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_2_MPNet,T5_Small,1,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_2_MPNet,T5_Small,5,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_2_MPNet,T5_Small,10,"Alvin, Simon, and Theodore"
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_2_MPNet,T5_Base,0,john mccartney
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_2_MPNet,T5_Base,1,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_2_MPNet,T5_Base,5,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Dense_2_MPNet,T5_Base,10,Chipmunks
TriviaQA,Who was the man behind The Chipmunks?,david seville,Sparse_BM25,T5_Small,0,john scott
TriviaQA,Who was the man behind The Chipmunks?,david seville,Sparse_BM25,T5_Small,1,Wayne B. Wheeler
TriviaQA,Who was the man behind The Chipmunks?,david seville,Sparse_BM25,T5_Small,5,Wayne B. Wheeler
TriviaQA,Who was the man behind The Chipmunks?,david seville,Sparse_BM25,T5_Small,10,Wayne B. Wheeler
TriviaQA,Who was the man behind The Chipmunks?,david seville,Sparse_BM25,T5_Base,0,john mccartney
TriviaQA,Who was the man behind The Chipmunks?,david seville,Sparse_BM25,T5_Base,1,Wayne B. Wheeler
TriviaQA,Who was the man behind The Chipmunks?,david seville,Sparse_BM25,T5_Base,5,Ross Bagdasarian
TriviaQA,Who was the man behind The Chipmunks?,david seville,Sparse_BM25,T5_Base,10,Wayne B. Wheeler
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_1_MiniLM,T5_Small,0,saturday night
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_1_MiniLM,T5_Small,1,ASPECTS OF LOVE
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_1_MiniLM,T5_Small,5,Sunset Boulevard
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_1_MiniLM,T5_Small,10,West End
